Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,LSRAM 18K,PLLs and CCCs,Chip Globals,MSS,CAN,10/100/1000 Ethernet,HS USB,Multi-Mode UART,RCOSC_50MHZ
Main_0/RxdGps_RxGps/UartFifo/fifo_i/Primitives,65,52,36,36,0,1,0,0,0,0,0,0,0,0
Main_0/RxdUsb_RxUsb/ClkSyncWrite/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RxdUsb_RxUsb/Uart/ClkSyncRxd/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RxdUsb_RxUsb/Uart/Uart/Primitives,35,25,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RxdUsb_RxUsb/UartFifo/Primitives,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RxdUsb_RxUsb/UartFifo/fifo_i/Primitives,65,52,36,36,0,1,0,0,0,0,0,0,0,0
Main_0/ShootThruIxnaeOneShotAMinus/Primitives,25,18,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/ShootThruIxnaeOneShotAPlus/Primitives,25,18,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/ShootThruIxnaeOneShotBMinus/Primitives,25,18,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/ShootThruIxnaeOneShotBPlus/Primitives,25,18,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/StepperMotor/Primitives,49,19,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/StepperMotor/StepOneShot/Primitives,30,21,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/StepperMotor/StepperMotor/Primitives,3,7,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/Uart0BitClockDiv/Primitives,18,8,0,0,0,0,0,1,0,0,0,0,0,0
Main_0/Uart0TxBitClockDiv/Primitives,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/Uart1BitClockDiv/Primitives,18,8,0,0,0,0,0,1,0,0,0,0,0,0
Main_0/Uart1TxBitClockDiv/Primitives,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/Uart2BitClockDiv/Primitives,18,8,0,0,0,0,0,1,0,0,0,0,0,0
Main_0/Uart2TxBitClockDiv/Primitives,14,4,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/Uart3BitClockDiv/Primitives,18,8,0,0,0,0,0,1,0,0,0,0,0,0
Main_0/Uart3TxBitClockDiv/Primitives,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/UartGpsRxBitClockDiv/Primitives,14,10,0,0,0,0,0,1,0,0,0,0,0,0
Main_0/UartGpsTxBitClockDiv/Primitives,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/UartUsbRxBitClockDiv/Primitives,8,6,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/UartUsbTxBitClockDiv/Primitives,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/ads1258/Primitives,4,13,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/ads1258/Spi/Primitives,75,34,0,0,0,0,0,0,0,0,0,0,0,0
Primitives/Primitives,7,0,0,0,67,0,0,0,0,0,0,0,0,0
