pin,slack
SckA_obuf/U0/U_IOOUTFF:Y,
SckA_obuf/U0/U_IOENFF:A,
SckA_obuf/U0/U_IOENFF:Y,
SpiMasterPorts_2/DataFromMiso_7_21_0_a2:A,7547
SpiMasterPorts_2/DataFromMiso_7_21_0_a2:B,7466
SpiMasterPorts_2/DataFromMiso_7_21_0_a2:C,6549
SpiMasterPorts_2/DataFromMiso_7_21_0_a2:D,3410
SpiMasterPorts_2/DataFromMiso_7_21_0_a2:Y,3410
SpiMasterPorts_4/ClkDiv_cry[6]:B,7575
SpiMasterPorts_4/ClkDiv_cry[6]:C,5240
SpiMasterPorts_4/ClkDiv_cry[6]:FCI,5177
SpiMasterPorts_4/ClkDiv_cry[6]:FCO,5177
SpiMasterPorts_4/ClkDiv_cry[6]:S,5209
SpiMasterPorts_0/DataFromMiso_1[18]:ALn,5513
SpiMasterPorts_0/DataFromMiso_1[18]:CLK,6645
SpiMasterPorts_0/DataFromMiso_1[18]:D,
SpiMasterPorts_0/DataFromMiso_1[18]:EN,3445
SpiMasterPorts_0/DataFromMiso_1[18]:Q,6645
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_172:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_172:IPB,
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTOl0l_0_sqmuxa_0_o2:A,5559
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTOl0l_0_sqmuxa_0_o2:B,6579
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTOl0l_0_sqmuxa_0_o2:Y,5559
SpiMasterPorts_5/DataFromMiso_7_14_0_a2:A,7502
SpiMasterPorts_5/DataFromMiso_7_14_0_a2:B,7469
SpiMasterPorts_5/DataFromMiso_7_14_0_a2:C,3489
SpiMasterPorts_5/DataFromMiso_7_14_0_a2:D,6474
SpiMasterPorts_5/DataFromMiso_7_14_0_a2:Y,3489
SpiMasterPorts_3/DataFromMiso_7_16_0_a2:A,3612
SpiMasterPorts_3/DataFromMiso_7_16_0_a2:B,6633
SpiMasterPorts_3/DataFromMiso_7_16_0_a2:C,6438
SpiMasterPorts_3/DataFromMiso_7_16_0_a2:Y,3612
SpiMasterPorts_5/AmbaDataLatched:ALn,5513
SpiMasterPorts_5/AmbaDataLatched:CLK,6621
SpiMasterPorts_5/AmbaDataLatched:EN,4461
SpiMasterPorts_5/AmbaDataLatched:Q,6621
SpiMasterPorts_4/ClkDiv_cry[0]:B,7479
SpiMasterPorts_4/ClkDiv_cry[0]:C,5177
SpiMasterPorts_4/ClkDiv_cry[0]:FCI,5204
SpiMasterPorts_4/ClkDiv_cry[0]:FCO,5177
SpiMasterPorts_4/ClkDiv_cry[0]:S,5256
SpiMasterPorts_3/DataToMosi_i[8]:ALn,5513
SpiMasterPorts_3/DataToMosi_i[8]:CLK,4006
SpiMasterPorts_3/DataToMosi_i[8]:D,7367
SpiMasterPorts_3/DataToMosi_i[8]:EN,4461
SpiMasterPorts_3/DataToMosi_i[8]:Q,4006
SpiMasterPorts_4/DataFromMiso_1[22]:ALn,5513
SpiMasterPorts_4/DataFromMiso_1[22]:CLK,6767
SpiMasterPorts_4/DataFromMiso_1[22]:D,
SpiMasterPorts_4/DataFromMiso_1[22]:EN,3489
SpiMasterPorts_4/DataFromMiso_1[22]:Q,6767
SpiMasterPorts_2/DataFromMiso_7_6_0_a2:A,7547
SpiMasterPorts_2/DataFromMiso_7_6_0_a2:B,7424
SpiMasterPorts_2/DataFromMiso_7_6_0_a2:C,6549
SpiMasterPorts_2/DataFromMiso_7_6_0_a2:D,3410
SpiMasterPorts_2/DataFromMiso_7_6_0_a2:Y,3410
SpiMasterPorts_1/Mosi_i_3_2_i_m2_2_0:A,3166
SpiMasterPorts_1/Mosi_i_3_2_i_m2_2_0:B,3088
SpiMasterPorts_1/Mosi_i_3_2_i_m2_2_0:C,2983
SpiMasterPorts_1/Mosi_i_3_2_i_m2_2_0:D,2718
SpiMasterPorts_1/Mosi_i_3_2_i_m2_2_0:Y,2718
